2390,#1890D0
1147,#F9F9F9
508,#2D2D2D
364,#EEEEEE
229,#474747
190,#E4E4E4
187,#3D3D3D
77,#DEDEDE
77,#C7C7C7
60,#1E70B2
49,#C52F2F
44,#C8C8C8
40,#952026
40,#616161
40,#3378A3
37,#E5E5E5
37,#3E8DED
36,#9DA2DC
35,#DB4DDB
34,#BEBEBE
33,#535353
29,#D04536
28,#868686
27,#4FB215
25,#EAEAEA
24,#F16959
24,#ECECEB
24,#695353
23,#C19A69
22,#4C4336
22,#2E3436
21,#E4C82F
20,#EA8E36
19,#9D8502
19,#4D4D4D
18,#ECECEC
17,#EAEBE1
17,#DCDCDC
16,#FFDCA9
16,#6F6751
16,#5FB10B
15,#E4D66A
15,#5AA9E3
15,#005E9D
14,#ECEDF1
14,#D64936
13,#EBEBEB
13,#865B21
13,#595959
13,#575757
12,#FFF8EB
12,#E33A31
12,#D0B092
12,#8E0317
12,#7FCF5B
11,#DBDBDB
11,#95959C
11,#535453
10,#FFC13D
10,#FF2D5B
10,#F2F2F2
10,#F2B962
10,#F1F1F1
10,#DC3E27
10,#DC3D27
10,#D6D6D6
10,#B2D4CF
10,#B20404
9,#FF6F03
9,#FF6632
9,#FA8410
9,#F4F4F4
9,#F36F20
9,#EFEFEF
9,#ECE333
9,#E7E7E7
9,#C34545
9,#85A1D4
9,#7B7B7B
9,#659EB9
9,#62BEE2
9,#4A4A4A
9,#48A113
9,#294172
9,#192D44
9,#00A2DE
8,#FFD7B9
8,#FFCDCE
8,#F9B928
8,#F88653
8,#EC8E19
8,#E5ECF4
8,#D6D6D7
8,#D6CFBA
8,#C6D4E3
8,#B12F0B
8,#ABABAB
8,#555555
8,#444444
8,#2D4C78
7,#FFB911
7,#FF4C4C
7,#F8F8F8
7,#EDB968
7,#ED8E68
7,#EC2F2F
7,#E4B9B7
7,#E3695B
7,#DFDFDF
7,#D9D9D9
7,#D7DEFF
7,#B2B2B2
7,#959A9B
7,#93B1D6
7,#85A2D6
7,#855920
7,#7FB869
7,#757575
7,#5E5E5E
7,#434343
7,#2F2F2F
7,#283D70
7,#268BCF
7,#13A553
7,#00ABEC
6,#FFCF36
6,#FFB30A
6,#FF9C36
6,#FF5858
6,#FBF4CE
6,#FBB909
6,#F15119
6,#EEA53A
6,#EDCE8E
6,#E87E0B
6,#E6E6E6
6,#E57E29
6,#E3E3E3
6,#E34445
6,#E2E3D5
6,#E1E1E1
6,#DE7F19
6,#DD4814
6,#D83F3D
6,#D72735
6,#D662C5
